ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: fb_product_item_id,Meta: fb_visibility,Meta: _wc_facebook_sync_enabled,Meta: fb_product_description,Meta: _wc_facebook_product_image_source,Meta: fb_product_image,Meta: fb_product_price,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _yoast_wpseo_primary_product_cat,Meta: _yith_wcbm_badge_from_date,Meta: _yith_wcbm_badge_to_date,Meta: fb_product_group_id,Meta: _wc_facebook_commerce_enabled,Meta: _yith_wcbm_badge_schedule,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_indexnow_last_ping,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_primary_fb_product_set,Meta: _yoast_wpseo_primary_product_brand,Meta: _wp_old_date,Meta: _yoast_wpseo_opengraph-title,Meta: _yoast_wpseo_opengraph-description,Meta: _yoast_wpseo_opengraph-image,Meta: _yoast_wpseo_opengraph-image-id,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_twitter-description,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: fb_rich_text_description,Meta: fb_brand,Meta: fb_mpn,Meta: fb_size,Meta: fb_color,Meta: fb_material,Meta: fb_pattern,Meta: fb_age_group,Meta: fb_gender,Meta: fb_product_condition,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Meta: _wp_desired_post_slug,Meta: yith_wcbm_badge_options_schedule,Meta: yith_wcbm_badge_options_security,Meta: yith_wcbm_badge_options_schedule_from,Meta: yith_wcbm_badge_options_schedule_to,Attribute 4 default,Meta: _oembed_3a1aea8bf90fd50d4b2f46b28e4c9756,Meta: _oembed_ccf759f70b721a0ed28e9a480edbf902,Meta: _oembed_8a7f2ecc928babb54b1fe347cdd1a103,Meta: _oembed_time_8a7f2ecc928babb54b1fe347cdd1a103,Meta: __is_newly_created_product,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global
24756,variation,WPcon7-L,,Eames Dining Tables - 1200mm,1,0,visible,,Eames Side Tables - 1200mm round white top,,,taxable,,0,0,,0,0,,,,,0,,,795,,,,,,,WPcon7,,,,,,0,,Table Diameter,1200mm,,0,default,3.50809E+15,no,yes,,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41971,variation,ConDB1A,,Jean Gillon 'Amazonas' Armchairs and Sofa - Sofa,1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,12800,,,,https://vamptvintagedesign.com/wp-content/uploads/2020/06/ConDB1_7-copy.jpg,,,ConDB1,,,,,,0,,Type,Sofa,,0,,4.52112E+15,yes,yes,,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42205,variation,IA911B,,Gudme Round Oak Dining Table plus Danish Oak Chairs (set of 6) - Chairs,1,0,visible,,Set of 6 Oak Chairs with original brown vinyl upholstery,,,taxable,parent,0,0,,0,0,,,,,0,,,4050,,,,,,,id:42202,,,,,,0,,Type,Chairs,,0,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42510,simple,4-979,,Arne Jacobsen Side Table for Fritz Hansen,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,2000,"Designers > Arne Jacobsen, Tables > Coffee/Sofa Tables, Tables > Side tables, Tables",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-979_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-979_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-979_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-979_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-979_5.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-979_6.jpg",,,,,,,,,0,,Designer,Arne Jacobsen,1,1,default,3.25241E+15,yes,yes,,product,,,Producer,Fritz Hansen,1,1,Country,Denmark,1,1,Year,1950's,1,1,Materials,"Aluminium, Teak",1,1,Dimensions,70cm x 70cm x 47.5cm,1,0,60,[],"[""""]",862,,,3.25241E+15,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42557,simple,ConUtzon,,Steve McQueen 'Bullitt' Movie Poster,1,0,visible,"Framed behind glass. Amazing piece acquired through the family of Danish Designer, Jorn Utzon",,,,taxable,,0,0,,0,0,,,,,0,,,12400,"Art, Consignment, Objects, Objects > Other objects",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bullit2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Screen-Shot-2020-08-03-at-1.43.31-pm.png, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Screen-Shot-2020-08-03-at-1.43.27-pm.png, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bullit4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bullit1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bullit3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bullit5.jpg",,,,,,,,,0,,Dimensions,215 cm x 156 cm x 4 cm Depth,1,0,default,4.5704E+15,yes,yes,,product,,,,,,,,,,,,,,,,,,,,,,,60,[],"[""""]",729,,,4.5704E+15,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42563,simple,4-866,,Artemide Bacco Bar Cart / Drinks Trolley,1,0,visible,"The orange plastic base shows many inlets for accessories &amp; bottles, while a clear glass plate acts as a table top.",,,,taxable,,0,0,,0,0,,,,,0,,2100,2850,"Objects, Objects > Other objects, Storage > Other storage, Storage",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bacco1-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bacco4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bacco3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Bacco2.jpg",,,,,,,,,0,,Designer,Sergio Mazza,1,1,default,3.51328E+15,yes,yes,,product,,,Producer,Artemide,1,1,Country,Italy,1,1,Year,1967,1,1,Materials,"Acrylic, Fibreglass, Glass",1,1,Dimensions,61.5 cm x 61.5 cm x 41.5 cm (H),1,0,30,[],"[""""]",880,,,3.51328E+15,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42622,simple,so63,,Danish Square Oak Sofa Table,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,895,"Tables > Coffee/Sofa Tables, New, Tables",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/so63_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/so63_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/so63_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/so63_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/so63_5.jpg",,,,,,,,,0,,Country,Denmark,1,1,default,,,yes,,,,,Materials,Oak,1,1,Dimensions,80 cm x 80 cm x 45.5 (H) cm,1,0,,,,,,,,,,,,,30,[],"[""""]",709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42637,simple,4-571,,Copper Studded Planter Pot w/ artificial plant,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,380,"Objects, Objects > Other objects",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-571_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-571_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-571_2.jpg",,,,,,,,,0,,Materials,Copper,1,1,default,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30,[],"[""""]",880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42641,variable,,,"Assorted Decorative Items - Glass Goblets, Ceramic Vase",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,"Objects > Ceramics, Objects > Glass, Mirrors, Objects, Objects > Other objects",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-663_4-783_3-376_1-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-663_4-783_3-376_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-663_4-783_3-376_5.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-663_4-783_3-376_4-e1597804849943.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-663_4-783_3-376_3.jpg",,,,,,,,,0,,Type,"Goblet Lge, Goblet Sm, Mirror, Vase",0,0,default,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""""]",880,,,3.61059E+15,,0,0,1667431612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42653,variable,,,Assorted Vases,1,0,visible,,Round pink bowl now sold. The Trehuse vase has a chip (please see images),,,taxable,,1,,,0,0,,,,,0,,,,"Objects > Ceramics, Objects > Glass, Objects, Objects > Other objects",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_SG10_2-341_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/ConSG10_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_SG10_2-341_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_SG10_2-341_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_SG10_2-341_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/IA949_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/2-341_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/k1031-vase.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/2-341_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/2-341.jpg",,,,,,,,,0,,Type,"Black Vase, Pink Bowl, Trehuse Vase",0,0,default,,,no,,,,,,,,,,,,,,,,,,,,,,,,,90,[],"[""""]",,,,3.0076E+15,,0,1,1729125538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
